wl_nm,b,g,r,re,nir
360,0.02645,0.05332,0.03806,0.00000,0.00943
361,0.02532,0.04780,0.02882,0.01511,0.00847
362,0.01840,0.04459,0.01371,0.02615,0.00656
363,0.01063,0.03960,0.02011,0.00000,0.00642
364,0.01792,0.03319,0.02214,0.02546,0.00642
365,0.02334,0.02217,0.01246,0.03082,0.00771
366,0.01820,0.03038,0.01347,0.03225,0.00534
367,0.01641,0.03240,0.01696,0.01352,0.00589
368,0.01450,0.03045,0.01527,0.02762,0.00677
369,0.01114,0.03037,0.01380,0.02089,0.00597
370,0.01677,0.03409,0.01326,0.00000,0.00684
371,0.01227,0.02081,0.01721,0.00000,0.00463
372,0.01139,0.02461,0.01859,0.00000,0.00387
373,0.01418,0.02154,0.01294,0.01100,0.00212
374,0.01573,0.02695,0.01541,0.01058,0.00316
375,0.01333,0.01699,0.01114,0.03052,0.00396
376,0.01402,0.01589,0.01084,0.01419,0.00353
377,0.01129,0.02033,0.01269,0.01927,0.00411
378,0.01293,0.02183,0.01489,0.02139,0.00350
379,0.00767,0.02319,0.01969,0.01314,0.00293
380,0.00664,0.01272,0.01426,0.01910,0.00342
381,0.01087,0.01758,0.00962,0.00737,0.00302
382,0.01085,0.02308,0.00493,0.00359,0.00298
383,0.00911,0.01541,0.00985,0.00809,0.00465
384,0.01291,0.02070,0.00327,0.01801,0.00385
385,0.00795,0.01981,0.00504,0.00326,0.00265
386,0.01070,0.01911,0.00560,0.01130,0.00244
387,0.00861,0.01961,0.00691,0.00995,0.00283
388,0.00898,0.02585,0.00781,0.01157,0.00194
389,0.00480,0.02499,0.00396,0.01484,0.00173
390,0.00704,0.02193,0.01081,0.01352,0.00340
391,0.00748,0.02052,0.00872,0.00620,0.00268
392,0.00947,0.02211,0.00623,0.00853,0.00181
393,0.00927,0.01869,0.00941,0.01732,0.00175
394,0.00750,0.01828,0.00854,0.02096,0.00197
395,0.00726,0.01137,0.00905,0.01797,0.00147
396,0.00597,0.01216,0.00636,0.00384,0.00199
397,0.00383,0.00824,0.00476,0.00000,0.00168
398,0.00624,0.01186,0.00392,0.00434,0.00166
399,0.00377,0.01316,0.00473,0.00988,0.00177
400,0.00530,0.01130,0.00743,0.01458,0.00146
401,0.00620,0.00933,0.01098,0.00743,0.00183
402,0.00422,0.00554,0.01059,0.01714,0.00141
403,0.00617,0.01050,0.00449,0.01422,0.00206
404,0.00557,0.00713,0.00584,0.01326,0.00170
405,0.00434,0.00640,0.00981,0.01014,0.00154
406,0.00522,0.00793,0.00518,0.00933,0.00114
407,0.00640,0.00745,0.00387,0.00352,0.00083
408,0.00403,0.00502,0.00972,0.00866,0.00105
409,0.00405,0.00768,0.01344,0.00285,0.00113
410,0.00518,0.00434,0.01419,0.00000,0.00179
411,0.00378,0.00472,0.01018,0.00000,0.00185
412,0.00622,0.00623,0.00858,0.00638,0.00173
413,0.00561,0.00339,0.00803,0.02005,0.00097
414,0.00421,0.00396,0.00736,0.03778,0.00117
415,0.00414,0.00436,0.00837,0.03203,0.00102
416,0.00325,0.00509,0.01534,0.02912,0.00119
417,0.00364,0.00470,0.02244,0.01993,0.00105
418,0.00368,0.00361,0.03082,0.02019,0.00095
419,0.00277,0.00400,0.03054,0.02045,0.00108
420,0.00346,0.00578,0.03249,0.02725,0.00094
421,0.00444,0.00737,0.02649,0.04926,0.00171
422,0.00255,0.00687,0.01523,0.06412,0.00101
423,0.00298,0.00752,0.00853,0.04414,0.00085
424,0.00285,0.00675,0.00797,0.02823,0.00091
425,0.00240,0.00734,0.01296,0.01691,0.00077
426,0.00235,0.00917,0.02077,0.00645,0.00084
427,0.00247,0.01030,0.01814,0.00616,0.00079
428,0.00248,0.01286,0.00959,0.00639,0.00143
429,0.00260,0.01761,0.00978,0.00639,0.00140
430,0.00331,0.02376,0.01033,0.00285,0.00129
431,0.00340,0.03043,0.01530,0.00377,0.00057
432,0.00331,0.04627,0.01659,0.00429,0.00064
433,0.00325,0.05353,0.01143,0.00577,0.00088
434,0.00284,0.05901,0.00892,0.00405,0.00132
435,0.00321,0.05887,0.00725,0.00258,0.00113
436,0.00199,0.05423,0.00826,0.00314,0.00073
437,0.00212,0.04127,0.01298,0.00435,0.00078
438,0.00243,0.03109,0.01121,0.00572,0.00073
439,0.00173,0.02477,0.00778,0.00537,0.00071
440,0.00212,0.02012,0.00591,0.00358,0.00073
441,0.00213,0.01582,0.00572,0.00349,0.00075
442,0.00242,0.01150,0.00785,0.00284,0.00063
443,0.00295,0.00920,0.01525,0.00311,0.00052
444,0.00340,0.00939,0.02416,0.00436,0.00058
445,0.00299,0.00852,0.02323,0.00264,0.00061
446,0.00300,0.00668,0.01215,0.00193,0.00044
447,0.00281,0.00657,0.01047,0.00233,0.00056
448,0.00246,0.00657,0.01396,0.00381,0.00051
449,0.00227,0.00583,0.01724,0.00384,0.00040
450,0.00231,0.00564,0.01702,0.00378,0.00058
451,0.00266,0.00525,0.00935,0.00284,0.00142
452,0.00288,0.00539,0.00679,0.00321,0.00180
453,0.00353,0.00465,0.00584,0.00383,0.00149
454,0.00359,0.00379,0.00758,0.00787,0.00077
455,0.00364,0.00400,0.01326,0.01648,0.00068
456,0.00341,0.00327,0.01578,0.02959,0.00058
457,0.00390,0.00357,0.01290,0.03821,0.00062
458,0.00467,0.00361,0.00916,0.03118,0.00062
459,0.00687,0.00319,0.00700,0.01578,0.00063
