wl_nm,b,g,r,re,nir
390,0.00025,0.00009,0.00004,0.00003,0.00002
395,0.00025,0.00009,0.00004,0.00003,0.00002
400,0.00024,0.00009,0.00004,0.00003,0.00002
405,0.00023,0.00008,0.00004,0.00003,0.00002
410,0.00025,0.00007,0.00004,0.00003,0.00002
415,0.00025,0.00007,0.00004,0.00003,0.00002
420,0.00026,0.00006,0.00004,0.00003,0.00002
425,0.00027,0.00005,0.00004,0.00003,0.00002
430,0.0003,0.00005,0.00004,0.00003,0.00002
435,0.00039,0.00005,0.00004,0.00003,0.00002
440,0.00051,0.00005,0.00004,0.00003,0.00002
445,0.00073,0.00005,0.00004,0.00003,0.00002
450,0.0014,0.00004,0.00004,0.00003,0.00002
455,0.0081,0.00004,0.00004,0.00003,0.00002
460,0.304,0.00003,0.00004,0.00003,0.00002
465,0.901,0.00003,0.00004,0.00003,0.00002
470,0.907,0.00003,0.00004,0.00003,0.00002
475,0.897,0.00004,0.00004,0.00003,0.00002
480,0.899,0.00004,0.00004,0.00003,0.00002
485,0.901,0.00004,0.00004,0.00003,0.00002
490,0.642,0.00004,0.00004,0.00003,0.00002
495,0.0236,0.00005,0.00004,0.00003,0.00002
500,0.002,0.00005,0.00004,0.00003,0.00002
505,0.00064,0.00006,0.00004,0.00003,0.00002
510,0.00031,0.00008,0.00004,0.00003,0.00002
515,0.00019,0.0001,0.00004,0.00003,0.00002
520,0.00014,0.00013,0.00004,0.00003,0.00002
525,0.00012,0.0002,0.00004,0.00003,0.00002
530,0.00009,0.00031,0.00004,0.00003,0.00002
535,0.00008,0.00064,0.00004,0.00003,0.00002
540,0.00007,0.0075,0.00004,0.00003,0.00002
545,0.00007,0.691,0.00004,0.00003,0.00002
550,0.00006,0.893,0.00004,0.00003,0.00002
555,0.00005,0.889,0.00004,0.00003,0.00002
560,0.00006,0.849,0.00004,0.00003,0.00002
565,0.00006,0.182,0.00004,0.00003,0.00002
570,0.00005,0.0019,0.00004,0.00003,0.00002
575,0.00005,0.00037,0.00004,0.00003,0.00002
580,0.00005,0.00017,0.00004,0.00003,0.00002
585,0.00005,0.00011,0.00004,0.00003,0.00002
590,0.00005,0.00007,0.00004,0.00003,0.00002
595,0.00005,0.00005,0.00004,0.00003,0.00002
600,0.00005,0.00004,0.00004,0.00003,0.00002
605,0.00005,0.00003,0.00005,0.00003,0.00002
610,0.00005,0.00003,0.00006,0.00003,0.00002
615,0.00005,0.00003,0.00007,0.00003,0.00002
620,0.00005,0.00002,0.00009,0.00003,0.00002
625,0.00005,0.00002,0.00013,0.00003,0.00002
630,0.00005,0.00002,0.00018,0.00003,0.00002
635,0.00005,0.00001,0.0003,0.00003,0.00002
640,0.00005,0.00001,0.00066,0.00003,0.00002
645,0.00005,0.00003,0.0036,0.00003,0.00002
650,0.00005,0.00002,0.351,0.00003,0.00002
655,0.00005,0.00002,0.977,0.00003,0.00002
660,0.00005,0.00002,0.979,0.00003,0.00002
665,0.00005,0.00002,0.981,0.00006,0.00002
670,0.00005,0.00002,0.979,0.00011,0.00002
675,0.00005,0.00002,0.978,0.00014,0.00002
680,0.00005,0.00002,0.96,0.00019,0.00002
685,0.00005,0.00002,0.101,0.0003,0.00002
690,0.00005,0.00002,0.0035,0.00065,0.00002
695,0.00005,0.00002,0.00098,0.0019,0.00002
700,0.00005,0.00002,0.00053,0.0082,0.00002
705,0.00005,0.00002,0.00038,0.0606,0.00002
710,0.00005,0.00002,0.00031,0.374,0.00002
715,0.00005,0.00002,0.00026,0.765,0.00002
720,0.00005,0.00002,0.00001,0.445,0.00002
725,0.00005,0.00002,0.00001,0.0374,0.00002
730,0.00005,0.00002,0.00001,0.0061,0.00002
735,0.00005,0.00002,0.00001,0.002,0.00002
740,0.00005,0.00002,0.00001,0.00086,0.00002
745,0.00005,0.00002,0.00001,0.00053,0.00002
750,0.00005,0.00002,0.00001,0.00038,0.00002
755,0.00005,0.00002,0.00001,0.0003,0.00002
760,0.00005,0.00002,0.00001,0.00023,0.00002
765,0.00005,0.00002,0.00001,0.00016,0.00002
770,0.00005,0.00002,0.00001,0.0001,0.00002
775,0.00005,0.00002,0.00001,0.00005,0.00002
780,0.00005,0.00002,0.00001,0.00005,0.00002
785,0.00005,0.00002,0.00001,0.00005,0.00001
790,0.00005,0.00002,0.00001,0.00005,0.00001
795,0.00005,0.00002,0.00001,0.00005,0.00003
800,0.00005,0.00002,0.00001,0.00005,0.00003
805,0.00005,0.00002,0.00001,0.00005,0.00002
810,0.00005,0.00002,0.00001,0.00005,0.00002
815,0.00005,0.00002,0.00001,0.00005,0.00001
820,0.00005,0.00002,0.00001,0.00005,0.00004
825,0.00005,0.00002,0.00001,0.00005,0.0052
830,0.00005,0.00002,0.00001,0.00005,0.591
835,0.00005,0.00002,0.00001,0.00005,0.964
840,0.00005,0.00002,0.00001,0.00005,0.973
845,0.00005,0.00002,0.00001,0.00005,0.987
850,0.00005,0.00002,0.00001,0.00005,0.655
855,0.00005,0.00002,0.00001,0.00005,0.0209
860,0.00005,0.00002,0.00001,0.00005,0.0011
865,0.00005,0.00002,0.00001,0.00005,0.00016
870,0.00005,0.00002,0.00001,0.00005,0.00005
875,0.00005,0.00002,0.00001,0.00005,0.00001
880,0.00005,0.00002,0.00001,0.00005,0.00007
885,0.00005,0.00002,0.00001,0.00005,0.00007
890,0.00005,0.00002,0.00001,0.00005,0.00018
895,0.00005,0.00002,0.00001,0.00005,0.00021
900,0.00005,0.00002,0.00001,0.00005,0.0001
905,0.00005,0.00002,0.00001,0.00005,0.0001
910,0.00005,0.00002,0.00001,0.00005,0.0001
915,0.00005,0.00002,0.00001,0.00005,0.0001
920,0.00005,0.00002,0.00001,0.00005,0.0001
925,0.00005,0.00002,0.00001,0.00005,0.0001
930,0.00005,0.00002,0.00001,0.00005,0.0001
935,0.00005,0.00002,0.00001,0.00005,0.0001
940,0.00005,0.00002,0.00001,0.00005,0.0001
945,0.00005,0.00002,0.00001,0.00005,0.0001
950,0.00005,0.00002,0.00001,0.00005,0.0001
955,0.00005,0.00002,0.00001,0.00005,0.0001
960,0.00005,0.00002,0.00001,0.00005,0.0001
965,0.00005,0.00002,0.00001,0.00005,0.0001
970,0.00005,0.00002,0.00001,0.00005,0.0001
975,0.00005,0.00002,0.00001,0.00005,0.0001
980,0.00005,0.00002,0.00001,0.00005,0.0001
985,0.00005,0.00002,0.00001,0.00005,0.0001
990,0.00005,0.00002,0.00001,0.00005,0.0001
995,0.00005,0.00002,0.00001,0.00005,0.0001
1000,0.00005,0.00002,0.00001,0.00005,0.0001
